Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,296002.4026496834,263686.79681942356,228856.0434264707,0.6748823236651079
mesh_median_ppsqm_growth_qoq,57358.374787862114,43025.34027424933,61336.65305747135,0.13077648327165672
mesh_median_ppsqm_lag1,45655.27796714136,45449.39322623804,28372.730197455447,0.10409354723551505
mesh_median_ppsqm_growth_yoy,19793.966212699153,8637.567823576272,69735.67358353751,0.0451300320287766
mesh_median_ppsqm_lag4,11043.214908768452,6591.135745908928,21518.960919633097,0.025178412308981258
mesh_median_ppsqm_std4q,5754.170637298917,4357.451154993672,14583.0975291727,0.013119447733205693
mesh_avg_area,787.8494098004086,425.4669187062101,4414.633187984307,0.001796288258556986
MeshHedonicIndex,730.5847096570055,167.40137798102865,5005.120178826743,0.0016657253524764435
TimeTrend,565.393108051762,224.21663017210466,1607.265361704298,0.0012890902611956171
mesh_avg_age,362.0348378216117,180.74400051484116,1090.8154930017763,0.0008254355721765325
mesh_transaction_count,290.2687499025231,110.50070099052144,1216.968062015967,0.0006618096565027675
WardHedonicIndex,176.98592149490332,39.57174695187945,1075.6483601126424,0.0004035260149420225
Ward_encoded,78.01731241449104,27.784873857287728,229.14866293505506,0.00017787864090654772
WardHedonicIndex_missing,0.0,0.0,0.0,0.0
MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
