Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,211319.91651352742,177910.0301088525,194386.91944018123,0.466183599248217
mesh_median_ppsqm_lag1,103302.6988930176,90515.21692664865,86737.88522936459,0.22789155313204454
mesh_median_ppsqm_growth_qoq,58617.63770281414,43194.78596763155,71383.07721947496,0.129313799544193
mesh_median_ppsqm_lag4,33659.714498260844,25421.816219213804,67011.83239410177,0.07425521982667521
mesh_median_ppsqm_growth_yoy,28524.558817683293,17832.3343592439,68437.32770335715,0.06292677810964319
mesh_median_ppsqm_std4q,4333.1308357252055,1718.834953814457,38618.16621164741,0.009559129883919392
MeshHedonicIndex,3572.753618656308,235.3864684034766,38369.18265381797,0.007881695055778948
mesh_avg_age,2721.500853510506,1246.3452908831978,11902.831103268398,0.006003783666862308
mesh_avg_area,2686.6709051954103,1004.8945298873689,23243.31004188339,0.005926946845539215
TimeTrend,1430.1660063656602,434.49285644084716,11111.506904596026,0.00315502649901583
Ward_encoded,1266.6708826259182,612.1166808999474,12702.258465767358,0.002794347077492178
WardHedonicIndex,971.7064893039668,303.86144273554453,6944.733661819871,0.002143639066635607
mesh_transaction_count,890.4950371407396,122.48926194021026,11121.226847380447,0.001964482043983631
WardHedonicIndex_missing,0.0,0.0,0.0,0.0
MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
